Hakusana	Homonymia	Sanaluokka	Taivutustiedot
3D-tulostin		substantiivi	
3D-tulostus		substantiivi	
4H-kerho		substantiivi	
4H-kerholainen		substantiivi	
4H-neuvoja		substantiivi	
4H-toiminta		substantiivi	
aah		interjektio	99
aakkonen		substantiivi	38
aakkosellinen		adjektiivi	38
aakkosellisesti		adverbi	99
aakkosellisuus		substantiivi	40
aakkosittain		adverbi	99
aakkosjÃ¤rjestys		substantiivi	
aakkosnimi		substantiivi	
aakkosnumeerinen		adjektiivi	
aakkostaa		verbi	53
aakkosto		substantiivi	2
aakkostus		substantiivi	39
aalloittain		adverbi	99
aalloittainen		adjektiivi	38
aalloittaisuus		substantiivi	40
aallokas		adjektiivi	41*A
aallokko		substantiivi	4*A
aallonharja		substantiivi	
aallonmurtaja		substantiivi	
aallonpituus		substantiivi	
aallonpohja		substantiivi	
aallota		verbi	75*I
aallotar		substantiivi	32*C
aallottaa		verbi	53*C
aallotus		substantiivi	39
aaloe		substantiivi	3
aalto		substantiivi	1*I
aaltoallas		substantiivi	
aaltoalue		substantiivi	
aaltoenergia		substantiivi	
aaltoilla		verbi	67
aaltoilu		substantiivi	2
aaltoiluhÃ¤iriÃ¶		substantiivi	
â€‘aaltoinen		adjektiivi	38
aaltolevy		substantiivi	
aaltoliike		substantiivi	
aaltomainen		adjektiivi	38
aaltomaisesti		adverbi	99
aaltopahvi		substantiivi	
aaltopelti		substantiivi	
aaltopituus		substantiivi	
aaltosulje		substantiivi	
aaltosulku		substantiivi	
aaltosulkumerkki		substantiivi	
aaltoviiva		substantiivi	
aaltovoima		substantiivi	
aaltovoimala		substantiivi	
aamen		adverbi, substantiivi	32
aamiainen		substantiivi	38
aamiaiskaappi		substantiivi	
aamiaismajoitus		substantiivi	
aamiaistapaaminen		substantiivi	
aamiaistunti		substantiivi	
aamu		substantiivi	1
aamuaskare		substantiivi	
aamuateria		substantiivi	
aamuaurinko		substantiivi	
aamuhartaus		substantiivi	
aamuhetki		substantiivi	
aamuhÃ¤mÃ¤rÃ¤		substantiivi, adjektiivi	
aamuihminen		substantiivi	
aamuinen		adjektiivi	38
aamuisin		adverbi	99
aamujumalanpalvelus		substantiivi	
aamujuna		substantiivi	
aamukahdeksan		substantiivi	
aamukahvi		substantiivi	
aamukampa		substantiivi	
aamukaste		substantiivi	
aamukylmÃ¤		adjektiivi, substantiivi	
aamulehti		substantiivi	
aamulenkki		substantiivi	
aamullinen		adjektiivi	38
aamulypsy		substantiivi	
aamulÃ¤hetys		substantiivi	
aamulÃ¤mpÃ¶		substantiivi	
aamunavaus		substantiivi	
aamunkoi		substantiivi	18
aamunkoite		substantiivi	
aamunkoitto		substantiivi	
aamunraikas		adjektiivi	
aamunsarastus		substantiivi	
aamuntorkku		adjektiivi	
aamunvirkku		adjektiivi	
aamupahoinvointi		substantiivi	
aamupala		substantiivi	
aamupesu		substantiivi	
aamupuoli		substantiivi	
aamupÃ¤ivisin		adverbi	
aamupÃ¤ivÃ¤		substantiivi	
aamupÃ¤ivÃ¤toiminta		substantiivi	
aamurukous		substantiivi	
aamurusko		substantiivi	
aamuruuhka		substantiivi	
aamusella		adverbi	99
aamuselle		adverbi	99
aamutakki		substantiivi	
aamutelevisio		substantiivi	
aamutohveli		substantiivi	
aamutoimi		substantiivi	
aamutorkku		adjektiivi	
aamutossu		substantiivi	
aamutuimaan		adverbi	99
aamutÃ¤hti		substantiivi	
aamu-uninen		adjektiivi	
aamu-unisuus		substantiivi	
aamu-uutiset		substantiivi	
aamuvarhain		adverbi	
aamuvarhainen		adjektiivi, substantiivi	
aamuvartio		substantiivi	
aamuvirkku		adjektiivi	
aamuvoimistelu		substantiivi	
aamuvuoro		substantiivi	
aamuyÃ¶		substantiivi	
aanelonen		substantiivi	
aapa		substantiivi	9*E
aapasuo		substantiivi	
aapinen		substantiivi	38
aapiskirja		substantiivi	
aapiskukko		substantiivi	
aaprotti		substantiivi	5*C
aari		substantiivi	5
aaria		substantiivi	12
aarnialue		substantiivi	
aarnihauta		substantiivi	
aarnihonka		substantiivi	
aarnikotka		substantiivi	
aarnio	1	substantiivi	3
aarnio	2	substantiivi	3
aarniohauta		substantiivi	
aarniometsÃ¤		substantiivi	
aarnipuu		substantiivi	
aarnituli		substantiivi	
aarnivalkea		substantiivi	
aaroninparta		substantiivi	
aarpora		substantiivi	10
aarre		substantiivi	48*K
aarreaitta		substantiivi	
aarrehauta		substantiivi	
aarrekammio		substantiivi	
aarrekartta		substantiivi	
aarrekÃ¤tkÃ¶		substantiivi	
aarrelÃ¶ytÃ¶		substantiivi	
aarretuli		substantiivi	
aarrevalkea		substantiivi	
aarteenetsijÃ¤		substantiivi	
aarteisto		substantiivi	2
aasi		substantiivi	5
aasialainen		adjektiivi, substantiivi	38
aasialaisuus		substantiivi	40
aasianrunkojÃ¤Ã¤rÃ¤		substantiivi	
aasimainen		adjektiivi	38
aasimaisesti		adverbi	99
aasimaisuus		substantiivi	40
aasinpotku		substantiivi	1
aasinsilta		substantiivi	
aatami		substantiivi	5
aataminaikainen		adjektiivi	
aataminomena		substantiivi	
aataminpuku		substantiivi	
aate		substantiivi	48*C
aatehistoria		substantiivi	
aatekilpailu		substantiivi	
aateli		substantiivi	6
aatelinen		adjektiivi, substantiivi	38
aatelis-			
aatelisarvo		substantiivi	
aatelisherra		substantiivi	
aateliskalenteri		substantiivi	
aatelisnenÃ¤		substantiivi	
aatelissuku		substantiivi	
aatelissÃ¤Ã¤ty		substantiivi	
aatelisto		substantiivi	1
aatelisuus		substantiivi	40
aatelisvaakuna		substantiivi	
aateliton		adjektiivi, substantiivi	34*C
aatella		verbi	67*C
aateloida		verbi	62
aatelointi		substantiivi	5*J
aateluus		substantiivi	40
aatemaailma		substantiivi	
aaterakennelma		substantiivi	
aatesisar		substantiivi	
aatesuunta		substantiivi	
aatetoveri		substantiivi	
aateveli		substantiivi	
aatevirtaus		substantiivi	
aatonaatto		substantiivi	
aatos		substantiivi	39
aatra		substantiivi	9
aatteellinen		adjektiivi	38
aatteellisesti		adverbi	99
aatteellisuus		substantiivi	40
â€‘aatteinen		adjektiivi	38
aatto		substantiivi	1*C
aattoilta		substantiivi	
aava		adjektiivi, substantiivi	9
aavameri		substantiivi	51
aave		substantiivi	48
aavejuna		substantiivi	
aavekipu		substantiivi	
aavelaiva		substantiivi	
aavemainen		adjektiivi	38
aavemaisesti		adverbi	99
aavemaisuus		substantiivi	40
aavesÃ¤rky		substantiivi	
aavikko		substantiivi	4*A
aavikoitua		verbi	52*F
aavistaa		verbi	53
aavistamaton		adjektiivi	34*C
aavistella		verbi	67
aavistuksenomainen		adjektiivi	
aavistus		substantiivi	39
aavistuslÃ¤htÃ¶		substantiivi	
abachi		substantiivi	5
abassi		substantiivi	5
abassipuu		substantiivi	
abbedissa		substantiivi	9
abessiivi		substantiivi	5
abhaasi		substantiivi	5
abhaasin kieli			
abi		substantiivi	5
abiturientti		substantiivi	5*C
abivuosi		substantiivi	
ablatiivi		substantiivi	5
ableismi		substantiivi	5
abnormi		adjektiivi	5
abnormius		substantiivi	40
abo		substantiivi	1
aborigiini		substantiivi	5
aboriginaali		substantiivi	5
abortoida		verbi	62
abortointi		substantiivi	5*J
abortti		substantiivi	5*C
aborttipilleri		substantiivi	
aborttitabletti		substantiivi	
abrakadabra		substantiivi	9
absessi		substantiivi	5
absidi		substantiivi	5
absintti		substantiivi	5*C
abskissa		substantiivi	9
absolutismi		substantiivi	5
absolutisti		substantiivi	5
absoluutti		substantiivi	5*C
absoluuttinen		adjektiivi	38
absoluuttisesti		adverbi	99
absoluuttisuus		substantiivi	40
absorboida		verbi	62
absorbointi		substantiivi	5*J
absorboitua		verbi	52*F
absorptio		substantiivi	3
abstinenssi		substantiivi	5
abstinenssioire		substantiivi	
abstrahoida		verbi	62
abstrahointi		substantiivi	5*J
abstrahoitua		verbi	52*F
abstrakti		adjektiivi, substantiivi	5
abstraktinen		adjektiivi	38
abstraktio		substantiivi	3
abstraktisesti		adverbi	99
abstraktistaa		verbi	53
abstraktisti		adverbi	99
abstraktistua		verbi	52
abstraktisuus		substantiivi	40
abstraktius		substantiivi	40
absurdi		adjektiivi	5
absurdisti		adverbi	99
absurdius		substantiivi	40
acajoupÃ¤hkinÃ¤		substantiivi	
a cappella		adverbi, substantiivi	(9)
action		substantiivi	6
action-elokuva		substantiivi	
action-peli		substantiivi	
AD		substantiivi	18
adagio		adverbi, substantiivi	(1)
adaptaatio		substantiivi	3
adapteri		substantiivi	6
adaptiivinen		adjektiivi	38
adaptoida		verbi	62
adaptointi		substantiivi	5*J
adaptoitua		verbi	52*F
addikti		substantiivi	5
addiktiivinen		adjektiivi	38
addiktio		substantiivi	3
addiktoida		verbi	62
addiktoitua		verbi	52*F
adekvaatisti		adverbi	99
adekvaatti		adjektiivi	5*C
adekvaattius		substantiivi	40
adenokarsinooma		substantiivi	
adenooma		substantiivi	10
adenovirus		substantiivi	
adessiivi		substantiivi	5
ADHD		substantiivi	18
adheesio		substantiivi	3
adjektiivi		substantiivi	5
adjektiivinen		adjektiivi	38
adjektiivisesti		adverbi	99
adjektiivisuus		substantiivi	40
adjutantti		substantiivi	5*C
adjuvanttihoito		substantiivi	
adonis		substantiivi	39
adoptio		substantiivi	3
adoptiokuraattori		substantiivi	
adoptiolapsi		substantiivi	
adoptioperhe		substantiivi	
adoptoida		verbi	62
adoptointi		substantiivi	5*J
adrenaliini		substantiivi	5
adrenaliinikynÃ¤		substantiivi	
adressi		substantiivi	5
adsorboida		verbi	62
adsorbointi		substantiivi	5*J
adsorboitua		verbi	52*F
adsorptio		substantiivi	3
adsukipapu		substantiivi	
adukipapu		substantiivi	
adventismi		substantiivi	5
adventisti		substantiivi	5
adventti		substantiivi	5*C
adventtiaika		substantiivi	9*D
adventtikalenteri		substantiivi	
adventtikirkko		substantiivi	
adventtikynttilÃ¤		substantiivi	
adventtiseurakunta		substantiivi	
adventtisunnuntai		substantiivi	
adverbi		substantiivi	5
adverbiaali		substantiivi	5
adverbiaalinen		adjektiivi	38
adverbiaalisesti		adverbi	99
adverbiaalisuus		substantiivi	40
adverbinen		adjektiivi	38
adverbisesti		adverbi	99
adverbisuus		substantiivi	40
adversatiivinen		adjektiivi	38
adversatiivisesti		adverbi	99
adversatiivisuus		substantiivi	40
adzukipapu		substantiivi	
aerobic		substantiivi	5
aerobikata		verbi	73*A
aerobikkaaja		substantiivi	10
aerobikkaus		substantiivi	39
aerobikki		substantiivi	5*A
aerobinen		adjektiivi	38
aerobiologia		substantiivi	12
aerobiologinen		adjektiivi	38
aerodynaaminen		adjektiivi	38
aerodynaamisesti		adverbi	
aerodynamiikka		substantiivi	9*A
aerosoli		substantiivi	5
afaatikko		substantiivi	4*A
afaattinen		adjektiivi	38
afasia		substantiivi	12
affekti		substantiivi	5
affektihÃ¤iriÃ¶		substantiivi	
affektiivinen		adjektiivi	38
affektiivisesti		adverbi	99
affektiivisuus		substantiivi	40
affektinen		adjektiivi	38
affektisesti		adverbi	99
affektisuus		substantiivi	40
affisio		substantiivi	3
affisioida		verbi	62
afgaani		substantiivi	5
afgaaninvinttikoira		substantiivi	
afganistanilainen		substantiivi, adjektiivi	38
aforismi		substantiivi	5
aforismikokoelma		substantiivi	
aforistinen		adjektiivi	38
afrikaaneri		substantiivi	6
afrikaans		substantiivi	5
afrikandi		substantiivi	5
afrikkalainen		adjektiivi, substantiivi	38
afrikkalaisuus		substantiivi	40
afro		substantiivi	1
afroaasialainen		adjektiivi	
afroamerikkalainen		adjektiivi, substantiivi	
afrokampaus		substantiivi	
afrokommunismi		substantiivi	
afrosuomalainen		substantiivi, adjektiivi	
afrotanssi		substantiivi	
afta		substantiivi	9
afÃ¤Ã¤ri		substantiivi	5
agaatti		substantiivi	5*C
agaave		substantiivi	8
agar		substantiivi	6
agar-agar		substantiivi	6
agenda		substantiivi	9
agentti		substantiivi	5*C
agenttifilmi		substantiivi	
agenttiromaani		substantiivi	
agentuuri		substantiivi	5
agentuuriliike		substantiivi	
aggregaatti		substantiivi	5*C
aggressiivinen		adjektiivi	38
aggressiivisesti		adverbi	99
aggressiivisuus		substantiivi	40
aggressio		substantiivi	3
agility		substantiivi	1
agitaatio		substantiivi	3
agitaattori		substantiivi	6
agitatorinen		adjektiivi	38
agitoida		verbi	62
agitointi		substantiivi	5*J
agnostikko		substantiivi	4*A
agnostinen		adjektiivi	38
agnostisesti		adverbi	99
agnostisismi		substantiivi	5
agnostisuus		substantiivi	40
agorafobia		substantiivi	
agraarinen		adjektiivi	38
agraaripolitiikka		substantiivi	
agraaripuolue		substantiivi	
agraarisuus		substantiivi	40
agraarivaltio		substantiivi	
agrologi		substantiivi	5
agronomi		substantiivi	5
agronomia		substantiivi	12
ah		interjektio	99
ahaa		interjektio	99
ahaa-elÃ¤mys		substantiivi	
ahava		substantiivi	11
ahavoittaa		verbi	53*C
ahavoitua		verbi	52*F
ahdas		adjektiivi	41*F
ahdashenkinen		adjektiivi	
ahdashenkisesti		adverbi	
ahdashenkisyys		substantiivi	
ahdaskatseinen		adjektiivi	
ahdasmielinen		adjektiivi	
ahdasmielisesti		adverbi	99
ahdasmielisyys		substantiivi	
ahdasnÃ¤kÃ¶inen		adjektiivi	
ahdasnÃ¤kÃ¶isesti		adverbi	99
ahdasnÃ¤kÃ¶isyys		substantiivi	
ahdasrajainen		adjektiivi	
ahdasrajaisesti		adverbi	99
ahdasrajaisuus		substantiivi	40
ahdata		verbi	73*F
ahde		substantiivi	48*F
ahdekaunokki		substantiivi	
ahdin		substantiivi	33*F
ahdinko		substantiivi	1*G
ahdinkotila		substantiivi	
ahdistaa		verbi	53
ahdistaja		substantiivi	10
ahdistelija		substantiivi	12
ahdistella		verbi	67
ahdistelu		substantiivi	2
ahdistua		verbi	52
ahdistuneesti		adverbi	99
ahdistuneisuus		substantiivi	40
ahdistuneisuushÃ¤iriÃ¶		substantiivi	
ahdistunut		adjektiivi	47
ahdistus		substantiivi	39
ahdistusneuroosi		substantiivi	
ahdistustila		substantiivi	
aherrus		substantiivi	39
ahertaa		verbi	54*K
ahertaja		substantiivi	10
ahjo		substantiivi	1
ahkera		adjektiivi	10
ahkeraan		adverbi	99
ahkeraliisa		substantiivi	9, 50
ahkerasti		adverbi	99
ahkeroida		verbi	68
ahkerointi		substantiivi	5*J
ahkeruus		substantiivi	40
ahkio		substantiivi	3
ahma		substantiivi	9
ahmaista		verbi	66
ahmaisu		substantiivi	2
ahmatti		substantiivi	5*C
ahmia		verbi	61
ahmimishÃ¤iriÃ¶		substantiivi	
ahminta		substantiivi	9*J
ahnaasti		adverbi	99
ahnas		adjektiivi	41
ahnaus		substantiivi	40
ahne		adjektiivi	48
ahneesti		adverbi	99
ahnehdinta		substantiivi	9*J
ahnehtia		verbi	61*F
ahnehtija		substantiivi	12
ahneus		substantiivi	40
aho		substantiivi	1
ahomansikka		substantiivi	
ahoniitty		substantiivi	
ahrain		substantiivi	33
ahtaa		verbi	56*F
ahtaaja		substantiivi	10
ahtaalla		adverbi	99
ahtaalle		adverbi	99
ahtaasti		adverbi	99
ahtauma		substantiivi	10
ahtaus	1	substantiivi	40
ahtaus	2	substantiivi	39
ahtausliike		substantiivi	
ahtaustyÃ¶		substantiivi	
ahtauttaa	1	verbi	53*C
ahtauttaa	2	verbi	53*C
ahtautua		verbi	52*F
ahtautuma		substantiivi	10
ahteri		substantiivi	6
ahti		substantiivi	5*F
Ahti		substantiivi	5*F
ahtisaarna		substantiivi	
ahtoilma		substantiivi	
ahtojÃ¤Ã¤		substantiivi	
ahtopaine		substantiivi	
ahtoutua		verbi	52*F
ahven		substantiivi	32
ahvenheinÃ¤		substantiivi	
ahvenkala		substantiivi	
ahvenruoho		substantiivi	
ahvenvita		substantiivi	
ai		interjektio	99
aidanne		substantiivi	48*J
aidanrako		substantiivi	
aidanseivÃ¤s		substantiivi	
aidanvieri		substantiivi	
aidas		substantiivi	39
aidaskÃ¤Ã¤pÃ¤		substantiivi	
aidata		verbi	73*F
aidoittaa		verbi	53*C
aidosti		adverbi	99
aids		substantiivi	5
aidspotilas		substantiivi	
aie		substantiivi	48*D
aiemmin		adverbi	99
aiempi		adjektiivi	16*H
aiennus		substantiivi	39
aientaa		verbi	54*J
aiepÃ¶ytÃ¤kirja		substantiivi	
aiesopimus		substantiivi	
aihe		substantiivi	48
aiheellinen		adjektiivi	38
aiheellisesti		adverbi	99
aiheellistaa		verbi	53
aiheellistua		verbi	52
aiheellisuus		substantiivi	40
aiheenmukainen		adjektiivi	
aiheenvalinta		substantiivi	
aiheeton		adjektiivi	34*C
aiheettomasti		adverbi	99
aiheettomuus		substantiivi	40
â€‘aiheinen		adjektiivi	38
aihekokonaisuus		substantiivi	
aihelma		substantiivi	10
aihepiiri		substantiivi	
aihetodiste		substantiivi	
aihetunniste		substantiivi	
aiheuttaa		verbi	53*C
aiheuttaja		substantiivi	10
aiheutua		verbi	52*F
aiheutus		substantiivi	39
aihio		substantiivi	3
aijai		interjektio	99
aika	1	substantiivi	9*D
aika	2	adjektiivi, adverbi	99
aika-ajo		substantiivi	
aikaansaada		verbi	
aikaansaamaton		adjektiivi	
aikaansaamattomuus		substantiivi	
aikaansaannos		substantiivi	39
aikaansaanti		substantiivi	
aikaansaapa		adjektiivi	10*E
aikaansaava		adjektiivi	10
aika-arvo		substantiivi	
aika-avaruus		substantiivi	
aikaavievÃ¤		adjektiivi	10
aikaero		substantiivi	
aikaerorasitus		substantiivi	
aikaihminen		substantiivi	
aikaikkuna		substantiivi	
aikailla		verbi	67
aikailu		substantiivi	2
aikainen		adjektiivi	38
aikaisemmin		adverbi	99
aikaisin		adverbi	99
aikaisintaan		adverbi	99
aikaistaa		verbi	53
aikaistua		verbi	52
aikaistus		substantiivi	39
aikaisuus		substantiivi	40
aikajakso		substantiivi	
aikajana		substantiivi	
aikajÃ¤nne		substantiivi	
aikajÃ¤rjestys		substantiivi	
aikakatkaisu		substantiivi	
aikakauppa		substantiivi	
aikakausi		substantiivi	
aikakausjulkaisu		substantiivi	
aikakauskirja		substantiivi	
aikakauslehdistÃ¶		substantiivi	
aikakauslehti		substantiivi	
aikakirja		substantiivi	
aikakone		substantiivi	
aikakysymys		substantiivi	
aikakytkin		substantiivi	
aikakÃ¤sitys		substantiivi	
aikalainen		substantiivi	38
aikalaisâ€‘			
aikalaiskuvaus		substantiivi	
aikalaukaisin		substantiivi	
aikalisÃ¤		substantiivi	
aikalukko		substantiivi	
aikaluokka		substantiivi	10*A
aikamatka		substantiivi	
aikamatkailu		substantiivi	
aikamatkustus		substantiivi	
aikamerkki		substantiivi	
aikamies		substantiivi	
aikamiespoika		substantiivi	
aikamiina		substantiivi	
aikamitta		substantiivi	
aikamoinen		adjektiivi	38
aikamuoto		substantiivi	
aikamÃ¤Ã¤rÃ¤		substantiivi	
aikanaan		adverbi	99
aikansa		adverbi	99
aikapalkka		substantiivi	
aikapalkkainen		adjektiivi	
aikapalkkaus		substantiivi	
aikapeli		substantiivi	
aikapommi		substantiivi	
aikapula		substantiivi	
aikarahtaus		substantiivi	
aikaraja		substantiivi	9
aikarajoitus		substantiivi	
aikarauta		substantiivi	
aikasakko		substantiivi	
aikasarja		substantiivi	
aikasytytin		substantiivi	
aikasytytteinen		adjektiivi	
aikasytytyksinen		adjektiivi	
aikasytytys		substantiivi	
aikasyÃ¶ppÃ¶		substantiivi	
aikataulu		substantiivi	
aikatauluttaa		verbi	53*C
aikataulutus		substantiivi	39
aikatiedotus		substantiivi	
aikaurakka		substantiivi	
aikauttaa		verbi	53*C
aikautus		substantiivi	39
aikava		adjektiivi	10
aikavalotus		substantiivi	
aikavaras		substantiivi	
aikavaraus		substantiivi	
aikaveloitus		substantiivi	
aikavyÃ¶hyke		substantiivi	
aikavÃ¤li		substantiivi	
aikayksikkÃ¶		substantiivi	
aikido		substantiivi	2
aikoa		verbi	52*D
aikoinaan		adverbi	99
aikojaan		adverbi	99
aikomus		substantiivi	39
aikuinen		adjektiivi, substantiivi	38
aikuisikÃ¤		substantiivi	
aikuiskaste		substantiivi	
aikuiskasvatus		substantiivi	
aikuiskoulutus		substantiivi	
aikuiskoulutuskeskus		substantiivi	
aikuislukio		substantiivi	
aikuismainen		adjektiivi	38
aikuismaisesti		adverbi	99
aikuisneuvola		substantiivi	
aikuisopettaja		substantiivi	
aikuisopetus		substantiivi	
aikuisopiskelija		substantiivi	
aikuisopisto		substantiivi	
aikuistaa		verbi	53
aikuistua		verbi	52
aikuistyyppi		substantiivi	
aikuisuus		substantiivi	40
aikuisviihde		substantiivi	
aikuisvÃ¤estÃ¶		substantiivi	
ailahdella		verbi	67*F
ailahdus		substantiivi	39
ailahtaa		verbi	53*F
ailahtelu		substantiivi	2
ailakki		substantiivi	5*A
aimo		adjektiivi	99
aina	1	adverbi	99
aina	2	substantiivi	9
ainainen		adjektiivi	38
ainaiseksi		adverbi	99
ainaisjÃ¤sen		substantiivi	
ainaisvakuutus		substantiivi	
ainakaan		adverbi	99
ainakin		adverbi	99
ainaoikeinneule		substantiivi	
ainavihanta		adjektiivi	
aine		substantiivi	48
aineellinen		adjektiivi	38
aineellistaa		verbi	53
aineellistua		verbi	52
aineellistuma		substantiivi	10
aineellisuus		substantiivi	40
aineenkirjoittaja		substantiivi	
aineenkoetus		substantiivi	
aineenopettaja		substantiivi	
aineenvaihdunta		substantiivi	
aineenvaihduntahÃ¤iriÃ¶		substantiivi	
aineeton		adjektiivi	34*C
aineettomuus		substantiivi	40
ainehiukkanen		substantiivi	
â€‘aineinen		adjektiivi	38
aineistaa		verbi	53
aineisto		substantiivi	2
aineistua		verbi	52
aineistuma		substantiivi	10
ainejakoinen		adjektiivi	
ainejÃ¤rjestÃ¶		substantiivi	
ainekirjoitus		substantiivi	
ainekoostumus		substantiivi	
aineksenkeruu		substantiivi	
â€‘aineksinen		adjektiivi	38
aineluokka		substantiivi	10*A
aineluokkajÃ¤rjestelmÃ¤		substantiivi	
ainemÃ¤Ã¤rÃ¤		substantiivi	
aineopinnot		substantiivi	
aineosa		substantiivi	
ainereaali		substantiivi	5
aines		substantiivi	39
ainesana		substantiivi	
aineseos		substantiivi	
aineskokoelma		substantiivi	
ainesosa		substantiivi	
ainespuu		substantiivi	
aineyhdistelmÃ¤		substantiivi	
ainiaaksi		adverbi	99
ainiaan		adverbi	99
ainiaksi		adverbi	99
ainian		adverbi	99
aino		substantiivi	1
ainoa		adjektiivi	15
ainoalaatuinen		adjektiivi	
ainoalaatuisuus		substantiivi	
ainoastaan		adverbi	99
ainoiskappale		substantiivi	
ainokainen		adjektiivi	38
ainu		substantiivi	1
ainut		adjektiivi	99
ainutkertainen		adjektiivi	
ainutkertaisuus		substantiivi	40
ainutlaatuinen		adjektiivi	
ainutlaatuisuus		substantiivi	
aioli		substantiivi	6
airedalenterrieri		substantiivi	
airo		substantiivi	1
aironlapa		substantiivi	
aironveto		substantiivi	1*F
airopari		substantiivi	5
airsoft		substantiivi	5
airsoft-ase		substantiivi	
airsoftaus		substantiivi	39
airsoft-peli		substantiivi	
airut		substantiivi	43
aisa		substantiivi	9
aisakello		substantiivi	
aisankannattaja		substantiivi	
aisapari		substantiivi	5
aisata		verbi	73
aisaus		substantiivi	39
aisti		substantiivi	5
aistia		verbi	61
aistienvarainen		adjektiivi	
aistiharha		substantiivi	
aistihavainto		substantiivi	
aistiherkkÃ¤		adjektiivi	
aistikas		adjektiivi	41*A
aistikkaasti		adverbi	99
aistikkuus		substantiivi	40
aistillinen		adjektiivi	38
aistillisesti		adverbi	99
aistillisuus		substantiivi	40
aistimaailma		substantiivi	
aistimuisti		substantiivi	
aistimus		substantiivi	39
aistin		substantiivi	33
aistinelin		substantiivi	
â€‘aistinen		adjektiivi	38
aistinsolu		substantiivi	
aistinvarainen		adjektiivi	38
aistinvaraisesti		adverbi	
aistivaikutelma		substantiivi	
aistivammainen		adjektiivi, substantiivi	
aistiÃ¤rsyke		substantiivi	
aita		substantiivi	9*F
aitajuoksija		substantiivi	
aitajuoksu		substantiivi	
aitapensas		substantiivi	
aitaus		substantiivi	39
aitio		substantiivi	3
aitiopaikka		substantiivi	
aito		adjektiivi	1*F
aitoa		verbi	52*F
aitoamaryllis		substantiivi	50
aitokana		substantiivi	50
aitoperÃ¤inen		adjektiivi	
aitosuomalainen		adjektiivi, substantiivi	50
aitosuomalaisuus		substantiivi	50
aitosyÃ¶pÃ¤		substantiivi	50
aitotumainen		substantiivi, adjektiivi	
aitotumallinen		adjektiivi, substantiivi	50
aitous		substantiivi	40
aitoustunniste		substantiivi	
aitovieri		substantiivi	26
aitta		substantiivi	9*C
aituri		substantiivi	6
aivan		adverbi	99
aivan kuin		konjunktio	99
aivastaa		verbi	53
aivastella		verbi	67
aivastus		substantiivi	39
aivastuttaa		verbi	53*C
aivina		substantiivi	13
aivipisto		substantiivi	
aivo		substantiivi	1
aivoaine		substantiivi	
aivofilmi		substantiivi	
aivohalvaus		substantiivi	
aivohermo		substantiivi	
aivoinfarkti		substantiivi	
aivoinvalidi		substantiivi	
aivoitus		substantiivi	39
aivojenpesu		substantiivi	
aivojumppa		substantiivi	
aivokalvo		substantiivi	
aivokalvontulehdus		substantiivi	
aivokalvotulehdus		substantiivi	
aivokammio		substantiivi	
